"filename", "language", "Markdown", "toml", "JSON", "Python", "comment", "blank", "total"
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise05.ipynb", "JSON", 0, 0, 194, 0, 0, 1, 195
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise06.ipynb", "JSON", 0, 0, 243, 0, 0, 1, 244
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise07.ipynb", "JSON", 0, 0, 160, 0, 0, 1, 161
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise08.ipynb", "JSON", 0, 0, 204, 0, 0, 1, 205
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise09.ipynb", "JSON", 0, 0, 206, 0, 0, 1, 207
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise10.ipynb", "JSON", 0, 0, 137, 0, 0, 1, 138
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise11.ipynb", "JSON", 0, 0, 215, 0, 0, 1, 216
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\Exercise12.ipynb", "JSON", 0, 0, 403, 0, 0, 1, 404
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercises\test1.py", "Python", 0, 0, 0, 3, 0, 1, 4
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercism\E12-change.ipynb", "JSON", 0, 0, 118, 0, 0, 1, 119
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Exercism\Tisbury Treasure Hunt.ipynb", "JSON", 0, 0, 126, 0, 0, 1, 127
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\Collatz Conjecture.ipynb", "JSON", 0, 0, 168, 0, 0, 1, 169
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\Property.ipynb", "JSON", 0, 0, 137, 0, 0, 1, 138
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\calculator_static_method.ipynb", "JSON", 0, 0, 61, 0, 0, 1, 62
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\classes.ipynb", "JSON", 0, 0, 65, 0, 0, 1, 66
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\decorators.ipynb", "JSON", 0, 0, 134, 0, 0, 1, 135
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\doctest.py", "Python", 0, 0, 0, 9, 5, 0, 14
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\drawing_many_func_in_one_fig.py", "Python", 0, 0, 0, 23, 0, 7, 30
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\list_bug.ipynb", "JSON", 0, 0, 49, 0, 0, 1, 50
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\misc.ipynb", "JSON", 0, 0, 126, 0, 0, 1, 127
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\ovningstenta_1.ipynb", "JSON", 0, 0, 768, 0, 0, 1, 769
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\ovningstenta_2.ipynb", "JSON", 0, 0, 192, 0, 0, 1, 193
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Explorations\test1.ipynb", "JSON", 0, 0, 529, 0, 0, 1, 530
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Labs\Lab 2\Lab2.ipynb", "JSON", 0, 0, 479, 0, 0, 1, 480
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Labs\Lab 2\Lab2_OLD.ipynb", "JSON", 0, 0, 458, 0, 0, 1, 459
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Labs\Lab 3\geometry.py", "Python", 0, 0, 0, 330, 101, 94, 525
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Labs\Lab 3\tests\Lab3-unittest.py", "Python", 0, 0, 0, 330, 10, 96, 436
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Labs\Lab 3\using_geometry.ipynb", "JSON", 0, 0, 188, 0, 0, 1, 189
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Pipfile", "toml", 0, 12, 0, 0, 0, 4, 16
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Pipfile.lock", "JSON", 0, 0, 777, 0, 0, 1, 778
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\README.md", "Markdown", 2, 0, 0, 0, 0, 2, 4
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\Rapport\Arbetsflöde för AI-projekt.md", "Markdown", 28, 0, 0, 0, 0, 17, 45
"c:\Users\hakan\OneDrive\Documents\Github\Python-Hakan-Akerblom\test.ipynb", "JSON", 0, 0, 89, 0, 0, 1, 90
"Total", "-", 30, 12, 12940, 881, 161, 353, 14377
